0.PNG 18
163.PNG Conditions
164.PNG Exhibit
165.PNG 1
166.PNG conflict
167.PNG with
168.PNG the
169.PNG terms
170.PNG set
171.PNG forth
172.PNG above
173.PNG and
174.PNG in
175.PNG Exhibits
176.PNG 2-4
177.PNG the
178.PNG terms
179.PNG set
180.PNG forth
181.PNG above
182.PNG and
183.PNG in
185.PNG 2-4
186.PNG shall
188.PNG Capitalized
189.PNG terms
190.PNG not
191.PNG otherwise
192.PNG defined
193.PNG shall
194.PNG bear
195.PNG the
196.PNG meanings
197.PNG set
198.PNG forth
199.PNG in
200.PNG Exhibits
201.PNG 1-4
202.PNG License
203.PNG Period
204.PNG For
205.PNG each
206.PNG Program
207.PNG during
208.PNG term
209.PNG the
210.PNG License
211.PNG Period
212.PNG Shall
213.PNG commence
214.PNG Availability
215.PNG Date
216.PNG thereof
217.PNG and
218.PNG terminate
219.PNG on
220.PNG the
221.PNG date
222.PNG that
223.PNG is
224.PNG twelve
225.PNG 12
226.PNG months
227.PNG thereafter
228.PNG unless
229.PNG terminated
230.PNG earlier
231.PNG in
232.PNG accordance
233.PNG with
234.PNG Section
235.PNG 3.1
236.PNG and/or
237.PNG Article
238.PNG 14
239.PNG of
240.PNG the
241.PNG Standard
242.PNG Terms
243.PNG and
244.PNG Conditions
245.PNG Availability
246.PNG Dates
247.PNG As
248.PNG determined
249.PNG by
250.PNG Licensor
251.PNG in
252.PNG its
253.PNG sole
254.PNG discretion
255.PNG provided
256.PNG however
257.PNG that
258.PNG it
259.PNG shall
260.PNG be
261.PNG no
262.PNG later
263.PNG than
264.PNG the
265.PNG earliest
266.PNG to
267.PNG occur
268.PNG of
269.PNG a
270.PNG seven
271.PNG 7
272.PNG months
273.PNG after
274.PNG its
275.PNG Home
276.PNG Video
277.PNG Street
278.PNG Date
279.PNG in
280.PNG the
281.PNG Territory
282.PNG b
283.PNG sixteen
284.PNG 16
285.PNG months
286.PNG from
287.PNG its
288.PNG theatrical
289.PNG release
290.PNG in
291.PNG the
292.PNG territory
293.PNG and
294.PNG o
295.PNG thirty-one
296.PNG 31
297.PNG months
298.PNG from
299.PNG its
300.PNG theatrical
301.PNG release
302.PNG in
303.PNG the
304.PNG U.S.
305.PNG As
306.PNG used
307.PNG herein
308.PNG Home
309.PNG Video
310.PNG Street
311.PNG Date
312.PNG With
313.PNG respect
314.PNG to
315.PNG an
316.PNG Program
317.PNG shall
318.PNG mean
319.PNG the
320.PNG date
321.PNG on
322.PNG which
323.PNG such
324.PNG Program
325.PNG is
326.PNG first
327.PNG made
328.PNG available
329.PNG in
330.PNG the
331.PNG Territory
332.PNG to
333.PNG the
334.PNG general
335.PNG public
336.PNG in
337.PNG the
338.PNG standard
339.PNG DVD
340.PNG format
341.PNG 3
342.PNG Indemnification
343.PNG for
344.PNG Additional
345.PNG Express
346.PNG The
347.PNG Company
348.PNG shall
349.PNG indemnify
350.PNG Indemnitee
351.PNG against
352.PNG any
353.PNG and
354.PNG all
355.PNG expenses
356.PNG including
357.PNG reasonable
358.PNG attorneys
359.PNG fees
360.PNG and
361.PNG if
362.PNG required
363.PNG by
364.PNG Indemnitee
365.PNG shall
366.PNG within
367.PNG ten
368.PNG business
369.PNG days
370.PNG of
371.PNG such
372.PNG request
373.PNG advance
374.PNG such
375.PNG expenses
376.PNG to
377.PNG Indemnitee
378.PNG which
379.PNG are
380.PNG incurred
381.PNG by
386.PNG Indemnitee
387.PNG in
388.PNG connection
389.PNG with
390.PNG any
391.PNG claim
392.PNG asserted
393.PNG by
394.PNG or
395.PNG action
396.PNG brought
397.PNG by
398.PNG Indemnitee
399.PNG for
400.PNG i
401.PNG indemnification
403.PNG or
404.PNG advance
405.PNG Payment
406.PNG of
407.PNG Expenses
408.PNG by
409.PNG the
410.PNG Company
412.PNG under
413.PNG this
414.PNG Agreement
415.PNG or
416.PNG other
417.PNG agreement
418.PNG or
419.PNG the
420.PNG Company�s
421.PNG Certificate
422.PNG of
423.PNG Incorporation
424.PNG or
425.PNG By-Laws
426.PNG now
427.PNG or
428.PNG hereafter
429.PNG in
430.PNG effect
431.PNG relating
432.PNG to
433.PNG Claims
434.PNG for
435.PNG Indemnifiable
436.PNG Events
437.PNG and/or
438.PNG ii
439.PNG recovery
440.PNG under
441.PNG any
442.PNG director's
443.PNG and
444.PNG officer's
445.PNG liability
446.PNG insurance
447.PNG politics
448.PNG maintained
449.PNG by
450.PNG the
451.PNG Company
452.PNG regardless
453.PNG of
454.PNG whether
455.PNG Indemnitee
456.PNG ultimately
457.PNG is
458.PNG determined
459.PNG to
460.PNG be
461.PNG entitled
462.PNG to
463.PNG such
464.PNG indemnification
465.PNG advance
466.PNG expense
467.PNG payment
468.PNG or
469.PNG insurance
470.PNG recovery
471.PNG as
472.PNG the
473.PNG case
474.PNG may
475.PNG be
476.PNG unless
477.PNG the
478.PNG court
479.PNG determines
480.PNG that
481.PNG the
482.PNG claim
483.PNG asserted
484.PNG by
485.PNG or
486.PNG action
487.PNG brought
488.PNG by
489.PNG Indemnitee
490.PNG was
491.PNG unfounded
492.PNG or
493.PNG not
494.PNG made
495.PNG in
496.PNG good
497.PNG faith
498.PNG Notwithstanding
499.PNG anything
500.PNG in
501.PNG the
502.PNG Certificate
503.PNG of
504.PNG Incorporation
505.PNG the
506.PNG By-Laws
507.PNG or
508.PNG this
509.PNG Agreement
510.PNG to
511.PNG the
512.PNG contrary
513.PNG if
514.PNG Indemnitee
515.PNG has
516.PNG commenced
517.PNG legal
518.PNG proceedings
519.PNG in
520.PNG a
521.PNG court
522.PNG of
523.PNG competent
524.PNG jurisdiction
525.PNG to
526.PNG secure
527.PNG a
528.PNG determination
529.PNG that
530.PNG Indemnitee
531.PNG should
532.PNG be
533.PNG indemnified
534.PNG under
535.PNG this
536.PNG Agreement
537.PNG the
538.PNG Certificate
539.PNG of
540.PNG Incorporation
541.PNG of
542.PNG the
543.PNG Company
544.PNG or
545.PNG applicable
546.PNG law
547.PNG any
548.PNG Board
549.PNG Action
550.PNG determining
551.PNG that
552.PNG Indemnitee
553.PNG would
554.PNG not
555.PNG be
556.PNG permitted
557.PNG to
558.PNG be
559.PNG indemnified
560.PNG in
561.PNG accordance
562.PNG with
563.PNG paragraph
564.PNG 2(a)
565.PNG of
566.PNG this
567.PNG Agreement
568.PNG shall
569.PNG not
570.PNG during
571.PNG the
572.PNG pendency
573.PNG of
574.PNG such
575.PNG legal
576.PNG proceedings
577.PNG be
578.PNG binding
579.PNG If
580.PNG there
581.PNG has
582.PNG been
583.PNG no
584.PNG Board
585.PNG Action
586.PNG or
587.PNG if
588.PNG Board
589.PNG Action
590.PNG determines
591.PNG that
592.PNG Indemnitee
593.PNG would
594.PNG not
595.PNG be
596.PNG permitted
597.PNG to
598.PNG be
599.PNG indemnified
600.PNG in
601.PNG any
602.PNG respect
603.PNG in
604.PNG whole
605.PNG or
606.PNG in
607.PNG part
608.PNG in
609.PNG accordance
610.PNG with
611.PNG paragraph
612.PNG 2(a)
613.PNG of
614.PNG this
615.PNG Agreement
616.PNG Indemnitee
617.PNG shall
618.PNG have
619.PNG the
620.PNG right
621.PNG to
622.PNG commence
623.PNG litigation
624.PNG in
625.PNG the
626.PNG court
627.PNG which
628.PNG is
629.PNG hearing
630.PNG the
631.PNG action
632.PNG or
633.PNG proceeding
634.PNG relating
635.PNG to
636.PNG the
637.PNG Claim
638.PNG for
639.PNG which
640.PNG indemnification
641.PNG is
642.PNG sought
643.PNG or
644.PNG in
645.PNG any
646.PNG court
647.PNG in
648.PNG the
649.PNG State
650.PNG of
651.PNG Delaware
652.PNG having
653.PNG subject
654.PNG matter
655.PNG jurisdiction
656.PNG thereof
657.PNG and
658.PNG in
659.PNG which
660.PNG venue
661.PNG is
662.PNG proper
663.PNG seeking
664.PNG an
665.PNG initial
666.PNG determination
667.PNG by
668.PNG the
669.PNG court
670.PNG or
671.PNG challenging
672.PNG and
673.PNG such
674.PNG Board
675.PNG Action
676.PNG or
677.PNG any
678.PNG aspect
679.PNG thereof
680.PNG and
681.PNG the
682.PNG Company
683.PNG hereby
684.PNG consents
685.PNG to
686.PNG service
687.PNG pf
688.PNG process
689.PNG and
690.PNG to
691.PNG appear
692.PNG in
693.PNG any
694.PNG such
695.PNG proceeding
696.PNG Except
697.PNG as
698.PNG otherwise
699.PNG provided
700.PNG in
701.PNG the
702.PNG first
703.PNG sentence
704.PNG of
705.PNG this
706.PNG paragraph
707.PNG 2(c)
708.PNG any
709.PNG Board
710.PNG Action
711.PNG not
712.PNG followed
713.PNG by
714.PNG such
715.PNG litigation
716.PNG shall
717.PNG be
718.PNG conclusive
719.PNG and
720.PNG binding
721.PNG on
722.PNG the
723.PNG Company
724.PNG and
725.PNG Indemnitee
726.PNG Notwithstanding
727.PNG anything
728.PNG in
729.PNG the
730.PNG Certificate
731.PNG of
732.PNG Incorporation
733.PNG the
734.PNG Bay-Laws
735.PNG or
736.PNG this
737.PNG Agreement
738.PNG to
739.PNG the
740.PNG contrary
741.PNG if
742.PNG so
743.PNG required
744.PNG by
745.PNG Indemnitee
746.PNG the
747.PNG Company
748.PNG shall
749.PNG advance
750.PNG within
751.PNG then
752.PNG business
753.PNG days
754.PNG of
755.PNG such
756.PNG request
757.PNG any
758.PNG and
759.PNG all
760.PNG Expenses
761.PNG relating
762.PNG to
763.PNG a
764.PNG Claim
765.PNG to
766.PNG Indemnitee
767.PNG an
768.PNG Expense
769.PNG Advance
770.PNG upon
771.PNG the
772.PNG receipt
773.PNG of
774.PNG written
775.PNG undertaking
776.PNG by
777.PNG or
778.PNG on
779.PNG behalf
780.PNG of
781.PNG Indemnitee
782.PNG to
783.PNG repay
784.PNG such
785.PNG Expense
786.PNG Advance
787.PNG if
788.PNG a
789.PNG judgment
790.PNG or
791.PNG other
792.PNG final
793.PNG adjudication
794.PNG adverse
795.PNG to
796.PNG Indemnitee
797.PNG as
798.PNG to
799.PNG which
800.PNG all
801.PNG rights
802.PNG appeal
803.PNG therefrom
804.PNG have
805.PNG been
806.PNG exhausted
807.PNG or
808.PNG lapsed
809.PNG establishes
810.PNG that
811.PNG Indemnitee
812.PNG with
813.PNG respect
814.PNG to
815.PNG such
816.PNG Claim
817.PNG is
818.PNG not
819.PNG eligible
820.PNG for
821.PNG indemnification
822.PNG as
823.PNG a
824.PNG result
825.PNG of
826.PNG the
827.PNG Eligibility
828.PNG Exception
829.PNG In
830.PNG Witness
831.PNG WHEREOF
832.PNG and
833.PNG in
834.PNG reliance
835.PNG upon
836.PNG the
837.PNG terms
838.PNG and
839.PNG conditions
840.PNG of
841.PNG this
842.PNG Agreement
843.PNG the
844.PNG parties
845.PNG hereto
846.PNG have
847.PNG executed
848.PNG and
849.PNG deliver1ed
850.PNG this
851.PNG Agreement
854.PNG the
855.PNG date
856.PNG set
857.PNG forth
858.PNG above
859.PNG None-exclusivity
860.PNG Etc.
861.PNG The
862.PNG rights
863.PNG of
864.PNG the
865.PNG Indemnitee
866.PNG hereunder
867.PNG shall
868.PNG be
869.PNG in
870.PNG addition
871.PNG to
872.PNG any
873.PNG other
874.PNG rights
875.PNG Indemnitee
876.PNG may
877.PNG have
878.PNG under
879.PNG the
880.PNG Company�s
881.PNG Certificate
882.PNG of
883.PNG Incorporation
884.PNG or
885.PNG By-Laws
886.PNG or
887.PNG the
888.PNG Delaware
889.PNG General
890.PNG Corporation
891.PNG Law
892.PNG or
893.PNG otherwise
894.PNG To
895.PNG the
896.PNG extent
897.PNG that
898.PNG a
899.PNG change
900.PNG in
901.PNG the
902.PNG Delaware
903.PNG General
904.PNG Corporation
905.PNG Law
906.PNG whether
907.PNG by
908.PNG Statue
909.PNG or
910.PNG judicial
911.PNG decision
912.PNG permits
913.PNG greater
914.PNG indemnification
915.PNG by
916.PNG agreement
917.PNG than
918.PNG would
919.PNG be
920.PNG afforded
921.PNG currently
922.PNG under
923.PNG the
924.PNG Company�s
925.PNG Certificate
926.PNG of
927.PNG Incorporation
928.PNG or
929.PNG By-Laws
930.PNG and
931.PNG this
932.PNG Agreement
933.PNG it
934.PNG is
935.PNG the
936.PNG intent
937.PNG of
938.PNG the
939.PNG parties
940.PNG hereto
941.PNG that
942.PNG Indemnitee
943.PNG shall
944.PNG enjoy
945.PNG by
946.PNG this
947.PNG Agreement
948.PNG the
949.PNG greater
950.PNG benefits
951.PNG so
952.PNG afforded
953.PNG by
954.PNG such
955.PNG change
956.PNG Basic
957.PNG Indemnification
958.PNG Arrangement
959.PNG In
960.PNG the
961.PNG event
962.PNG Indemnitee
963.PNG was
964.PNG is
965.PNG or
966.PNG becomes
967.PNG a
968.PNG party
969.PNG to
970.PNG or
971.PNG witness
972.PNG or
973.PNG other
974.PNG participant
975.PNG in
976.PNG or
977.PNG is
978.PNG threatened
979.PNG to
980.PNG made
981.PNG a
982.PNG party
983.PNG to
984.PNG or
985.PNG witness
986.PNG or
987.PNG other
988.PNG participant
989.PNG in
990.PNG a
991.PNG Claim
992.PNG by
993.PNG reason
994.PNG of
995.PNG or
996.PNG arising
997.PNG in
998.PNG Expenses
999.PNG expenses
1001.PNG including
1002.PNG attorneys
1004.PNG judgments
1005.PNG fines
1006.PNG and
1007.PNG amounts
1008.PNG paid
1009.PNG settlement
1010.PNG actually
1011.PNG and
1012.PNG reasonably
1013.PNG incurred
1014.PNG in
1015.PNG connection
1016.PNG with
1017.PNG investigating
1018.PNG defending
1019.PNG being
1020.PNG a
1021.PNG witness
1023.PNG or
1024.PNG participating
1025.PNG in
1026.PNG including
1027.PNG in
1028.PNG appeal
1029.PNG or
1030.PNG preparing
1031.PNG to
1032.PNG defend
1033.PNG be
1034.PNG a
1035.PNG witness
1036.PNG in
1037.PNG or
1038.PNG participate
1039.PNG in
1040.PNG any
1041.PNG Claim
1042.PNG relating
1043.PNG to
1044.PNG any
1045.PNG indemnifiable
1046.PNG Event
1047.PNG WHEREAS
1048.PNG in
1049.PNG recognition
1050.PNG of
1051.PNG Indemnitee's
1052.PNG need
1053.PNG for
1054.PNG substantial
1055.PNG protection
1056.PNG against
1057.PNG personal
1058.PNG liability
1059.PNG in
1060.PNG order
1061.PNG to
1062.PNG enhance
1063.PNG Indemnitee's
1064.PNG continued
1065.PNG service
1066.PNG to
1067.PNG the
1068.PNG Company
1069.PNG in
1070.PNG an
1071.PNG effective
1072.PNG manner
1073.PNG and
1074.PNG Indemnitee's
1075.PNG reliance
1076.PNG on
1077.PNG the
1078.PNG aforesaid
1079.PNG Certificate
1080.PNG of
1081.PNG Incorporation
1082.PNG and
1083.PNG in
1084.PNG part
1085.PNG to
1086.PNG provide
1087.PNG Indemnitee
1088.PNG with
1089.PNG specific
1090.PNG contractual
1091.PNG assurance
1092.PNG that
1093.PNG the
1094.PNG protection
1095.PNG promised
1096.PNG by
1097.PNG such
1098.PNG Certificate
1099.PNG of
1100.PNG Incorporation
1101.PNG will
1102.PNG be
1103.PNG available
1104.PNG to
1105.PNG Indemnitee
1106.PNG regardless
1107.PNG of
1108.PNG among
1109.PNG other
1110.PNG things
1111.PNG any
1112.PNG amendment
1113.PNG to
1114.PNG or
1115.PNG revocation
1116.PNG of
1117.PNG such
1118.PNG Certificate
1119.PNG of
1120.PNG Incorporation
1121.PNG or
1122.PNG any
1123.PNG change
1124.PNG in
1125.PNG the
1126.PNG composition
1127.PNG of
1128.PNG the
1129.PNG Company�s
1130.PNG Board
1131.PNG of
1132.PNG Directors
1133.PNG or
1134.PNG acquisition
1135.PNG transaction
1136.PNG relating
1137.PNG to
1138.PNG the
1139.PNG Company
1140.PNG the
1141.PNG Company
1142.PNG wishes
1143.PNG tp
1144.PNG provide
1145.PNG in
1146.PNG this
1147.PNG Agreement
1148.PNG for
1149.PNG the
1150.PNG indemnification
1151.PNG of
1152.PNG and
1153.PNG the
1154.PNG advancing
1155.PNG of
1156.PNG expenses
1157.PNG to
1158.PNG Indemnitee
1159.PNG to
1160.PNG the
1161.PNG fullest
1162.PNG extent
1163.PNG whether
1164.PNG partial
1165.PNG or
1166.PNG complete
1167.PNG permitted
1168.PNG by
1169.PNG Delaware
1170.PNG law
1171.PNG and
1172.PNG as
1173.PNG set
1174.PNG forth
1175.PNG in
1176.PNG this
1177.PNG Agreement
1178.PNG and
1179.PNG to
1180.PNG the
1181.PNG extent
1182.PNG insurance
1183.PNG is
1184.PNG maintained
1185.PNG for
1186.PNG the
1187.PNG continued
1188.PNG coverage
1189.PNG of
1190.PNG Indemnitee
1191.PNG under
1192.PNG the
1193.PNG Company's
1194.PNG director's
1195.PNG and
1196.PNG officers'
1197.PNG liability
1198.PNG insurance
1199.PNG policies
