file_name	actual_word	tes_normal	tes_char_segmentation	
85.PNG	license	Ilccnsu	Ilccnw	
86.PNG	granted	gmulm	gmllled	
87.PNG	by	by	hy	
88.PNG	Licensor	Llccnsor	[.lccnsor	
89.PNG	to	lo'	[0	
90.PNG	License	Licensee	[Jecnsw	
91.PNG	hereunder	hcreundcr.	Immunlcn	
92.PNG	Attached	Almclmd	Alhlchud	
93.PNG	hereto	hereto	hereto	
94.PNG	as	(B	n3	
95.PNG	Exhibit	Exhibll	llxhibll	
96.PNG	3	3	3	
97.PNG	are	“ml	Mel	
98.PNG	the	lha	ma	
99.PNG	Content	Content	CHINE!”	
100.PNG	Protection	l’mlccllon	l'xultcllon	
101.PNG	Requirement	Requkemcnls	Requirenlenls	
102.PNG	and	nml‘	nnrl	
103.PNG	Obligations	Obllgﬂlions.	Ohllgplions‘	
104.PNG	Attached	chllcd	Anaclwd	
105.PNG	hereto	harem	Imelu	
106.PNG	as	as	as	
107.PNG	Exhibit	Dxpiplt	prlhll	
108.PNG	4	4	4	
109.PNG	are	arc	arc	
110.PNG	the	the	Hm	
111.PNG	Usage	Usage	Usage	
112.PNG	Rules	Rules.	Rules.	
113.PNG	Licensor	Liccnxor	l.iccnwr	
114.PNG	and	mu!	and	
115.PNG	Licensee	Iilgcuxco	lylc‘cnﬁcc	
116.PNG	hereby	hereby	lmehy	
117.PNG	acknowledge	ncknawlpdgc	acknowledge	
118.PNG	and	and	and	
119.PNG	agree	agree	aglou	
120.PNG	that	lhal	lhal	
121.PNG	all	'a'li'	Ali	
122.PNG	of	of	of	
123.PNG	the	Ihc	Illc	
124.PNG	terms	lorms:	lurms	
125.PNG	and	nnd	nnd	
126.PNG	conditions	conditions	conditions	
127.PNG	set	sel	sci	
128.PNG	forth	forth	f(nIh	
129.PNG	in	1n	1n	
130.PNG	Exhibit	Exhibhs	Hxhihlts	
131.PNG	1	l	I	
132.PNG	2	2‘	2	
133.PNG	3	3	3	
134.PNG	and	and	axnl	
135.PNG	4	.	.	
136.PNG	are	um	Inc	
137.PNG	hereby	hereby	hereby	
138.PNG	Incorporated	Incorporated	Incorporated	
139.PNG	into	Into	Into	
140.PNG	this	uhls	ynuls	
141.PNG	SVOD	SVUD	SVUI)	
142.PNG	License	License	Llccnso	
143.PNG	Agreement	Agreement	Agreement	
144.PNG	by	Iby‘	thy	
145.PNG	this	tllls	Illls	
146.PNG	reference	teferencb:	zefeteuc}:	
147.PNG	as	.	as	
148.PNG	if	lf’t	lf’l	
149.PNG	fully	Mly	mlly	
150.PNG	stated	slalcd'	SIMON	
151.PNG	herein	lucrclu	hucln	
152.PNG	the	‘lho	Illa	
153.PNG	SVOD	SYOD	mm	
154.PNG	License	nggmg	1495:1152	
155.PNG	Agreement	Agmmm	Agumm	
156.PNG	To	To	‘l'o	
157.PNG	the	llm	lhu	
158.PNG	extent	oxlcnl	oxlcnl	
159.PNG	the	the	the	
160.PNG	standard	slandfsni	slmuﬁnl	
161.PNG	terms	tcrms	nrms	
162.PNG	and	mm	and.	
163.PNG	Conditions	conditlons	conditlons	
164.PNG	Exhibit	Exlﬂbil	Exhibit	
165.PNG	1	l)	L	
166.PNG	conflict	conﬂict	conflict	
167.PNG	with	wiﬂl	wilh	
168.PNG	the	HID	HID	
169.PNG	terms	tcnns	(cunts	
170.PNG	set	sel	sel	
171.PNG	forth	forth	1'0th	
172.PNG	above	above	above	
173.PNG	and	mid	mid	
174.PNG	in	ln	In	
175.PNG	Exhibits	ﬂxhlblls	llxhlbﬂs	
176.PNG	2-4	2'41	24‘	
177.PNG	the	(ho	lllo	
178.PNG	terms	terms	lcnus	
179.PNG	set	set	xel	
180.PNG	forth	{brlh	{hIHI	
181.PNG	above	nbovo	Hlmue	
182.PNG	and	nnd	nnd	
183.PNG	in	In	In	
185.PNG	2-4	2-4	2-4	
186.PNG	shall	shall	shall	
188.PNG	Capitalized	Cnpllulizcd	(?npllnlizul	
189.PNG	terms	terms	Ielms	
190.PNG	not	nol	xlol	
191.PNG	otherwise	otherwise	ulllelwlsc	
192.PNG	defined	deﬁned	deﬁned	
193.PNG	shall	51ml!	shnlI	
194.PNG	bear	bcm	bear	
195.PNG	the	lhe	Ilia	
196.PNG	meanings	mcunlngs	Incnnlngs	
197.PNG	set	set	set	
198.PNG	forth	forth	forth	
199.PNG	in	In	Sn	
200.PNG	Exhibits	Exhibits	Hxhibils	
201.PNG	1-4	l-d	I-d	
202.PNG	License	LICENSE	IJLCBE-SE	
203.PNG	Period	PERKOI)	EIMOD	
204.PNG	For	Fur	I'ur	
205.PNG	each	ench	emh	
206.PNG	Program	l’mgmm	l’IogquI	
207.PNG	during	ﬂurlng	gluxlng	
208.PNG	term	Term,	’I'erm	
209.PNG	the	tho	mo	
210.PNG	License	Liconse	I‘ICGIIEO	
211.PNG	Period	Ecviad	l’cliud	
212.PNG	Shall	shnll	shall	
213.PNG	commence	Icongmepcy	‘COIIPIHCPCIC	
214.PNG	Availability	Avallablllix	Avnlklblllix	
215.PNG	Date	1)ng	Ilzllg	
216.PNG	thereof	mefeof	lheuof	
217.PNG	and	imd	yul	
218.PNG	terminate	lcrmlpsile	lcxmlglgla	
219.PNG	on	0!}	09	
220.PNG	the	the	tho	
221.PNG	date	(me	due	
222.PNG	that	W	iiiii	
223.PNG	is	T;	E	
224.PNG	twelve	twelve	iiEiE	
225.PNG	12	IIZJ	1'23	
226.PNG	months	monlhs	Inonlhs	
227.PNG	thereafter	thercnﬁe}	llwrcuﬁét	
228.PNG	unless	unless	unless	
229.PNG	terminated	(erminnlcd	lanninnlcd	
230.PNG	earlier	enrller	unller	
231.PNG	in	hl	In	
232.PNG	accordance	accordance	noconhmca	
233.PNG	with	with	\vﬂh	
234.PNG	Section	SEEM};	S&ilun	
235.PNG	3.1	3.!	3.!	
236.PNG	and/or	nndlor	undlor	
237.PNG	Article	Anlclc	Anlclc	
238.PNG	14	M	,	
239.PNG	of	uf‘	nf	
240.PNG	the	the	lllc	
241.PNG	Standard	Stundard‘	Slnmlarxl‘	
242.PNG	Terms	Tums	Tums	
243.PNG	and	mud	II	
244.PNG	Conditions	Condillons)	Coudillons}	
245.PNG	Availability	Aynnnblli}!	AMHLNHW	
246.PNG	Dates	11m	Dub!	
247.PNG	As	As	As	
248.PNG	determined	delmldncd	delelmhmd	
249.PNG	by	by	by	
250.PNG	Licensor	Llccnsor	I'lunsor	
251.PNG	in	in	ill	
252.PNG	its	its	Hs	
253.PNG	sole	sole	sole	
254.PNG	discretion	dischﬁgnl	Illsgfglign	
255.PNG	provided	pmvlqzd,	[vularhied	
256.PNG	however	Iwwevpr;	Ipawevpr,	
257.PNG	that	Ihpt	lily	
258.PNG	it	u.	H.	
259.PNG	shall	sllal!	sllal!	
260.PNG	be	b9	b9	
261.PNG	no	no	n4)	
262.PNG	later	lulcr	IIIch‘	
263.PNG	than	Hum	llmll	
264.PNG	the	11w	llxc	
265.PNG	earliest	carllesl	calllesl	
266.PNG	to	Ho	Ila	
267.PNG	occur	occur	occur	
268.PNG	of	0F	of	
269.PNG	a	("I	("I	
270.PNG	seven	sew;	amp	
271.PNG	7	(7)	(7)	
272.PNG	months	momha	momhs	
273.PNG	after	unﬁt!	lllﬂtl	
274.PNG	its	lis	Hs	
275.PNG	Home	Home	llmue	
276.PNG	Video	Video	Vldw	
277.PNG	Street	Suéel	snéel	
278.PNG	Date	Date	Dale	
279.PNG	in	lnl	lIIl	
280.PNG	the	the	Ihe	
281.PNG	Territory	I‘en’itory,	lbtritory	
282.PNG	b	(b)	(b)	
283.PNG	sixteen	slxlggq	sixlggl	
284.PNG	16	15;	15;	
285.PNG	months	rhomhs	Iimnllls	
286.PNG	from	from	ﬁulll	
287.PNG	its	Ila	H3	
288.PNG	theatrical	lhenlvlcal	Ihenhlcul	
289.PNG	release	relpm	Mensa	
290.PNG	in	In	In	
291.PNG	the	lhu	Hm	
292.PNG	territory	Tgnlmry	1'9!!me	
293.PNG	and	nnd	und	
294.PNG	o	(0)	(0)	
295.PNG	thirty-one	hiny-mle	hhly-nne	
296.PNG	31	Bl	:31	
297.PNG	months	monlhs	nlonlhs	
298.PNG	from	(tom	{tam	
299.PNG	its	Its	H8	
300.PNG	theatrical	lhcmrlcul	Ihcmrlcnl	
301.PNG	release	FCICMO	FCICMO	
302.PNG	in	In	In	
303.PNG	the	Ihe	IIAe	
304.PNG	U.S.	[LS	US	
305.PNG	As	Ax	Ax	
306.PNG	used	used	um]	
307.PNG	herein	Imehu	Ilcwin	
308.PNG	Home	Huang	Hung	
309.PNG	Video	yldgo	yldgo	
310.PNG	Street	arm	it‘s?!	
311.PNG	Date	BALE}	EAL?	
312.PNG	With	with	vvim	
313.PNG	respect	respect	Icspcd	
314.PNG	to	(0	h)	
315.PNG	an	NI	MI	
316.PNG	Program	Progmm	Progmnl	
317.PNG	shall	sImll	shall	
318.PNG	mean	mcah	mcah	
319.PNG	the	(lw	lllu	
320.PNG	date	dnlo	date	
321.PNG	on	0n	on	
322.PNG	which	\vhiclL	which	
323.PNG	such	such	chII	
324.PNG	Program	Program	l'lngllml	
325.PNG	is	is!	is	
326.PNG	first	Ill’Sl	Ill’SI	
327.PNG	made	made	made	
328.PNG	available	nvmlnblu	nvutlnbk‘a	
329.PNG	in	h]	NONE	
330.PNG	the	the	III:	
331.PNG	Territory	'X‘eultwy	‘I'ulltovy	
332.PNG	to	(0	l0	
333.PNG	the	illé	lhé	
334.PNG	general	general	gcnelnl	
335.PNG	public	puhllc	pnlrllc	
336.PNG	in	In	In	
337.PNG	the	(ha	(h:	
338.PNG	standard	standard	standard	
339.PNG	DVD	“D“vﬁ'	3w)	
340.PNG	format	fnrmni.	lhrnni‘	
341.PNG	3	3	3	
342.PNG	Indemnification	Indemnification	Indemniﬁcation	
343.PNG	for	far	far	
344.PNG	Additional	Additional	Additional	
345.PNG	Express	Expenses.	Expenses.	
346.PNG	The	The	The	
347.PNG	Company	Company	Company	
348.PNG	shall	shall	shall	
349.PNG	indemnify	indemnify	indemnify	
350.PNG	Indemnitee	Indemnitee	lndemnitee	
351.PNG	against	against	agaxnsl	
352.PNG	any	?‘?Y	9‘.”	
353.PNG	and	and	and	
354.PNG	all	all	all	
355.PNG	expenses	expense}	expense}	
356.PNG	including	including	inciuding	
357.PNG	reasonable	reasonable	reasonable	
358.PNG	attorneys	attorney:	anorneys	
359.PNG	fees	tee;	fees	
360.PNG	and	and‘	and	
361.PNG	if	if	if	
362.PNG	required	requested	requested	
363.PNG	by	by	by	
364.PNG	Indemnitee	[ndemnilee‘	lndemnilee	
365.PNG	shall	shall	shall	
366.PNG	within	within	within	
367.PNG	ten	ten	leﬂ	
368.PNG	business	businéss	businéss	
369.PNG	days	days	days	
370.PNG	of	of	of	
371.PNG	such	SUCH	sud;	
372.PNG	request	request:	requesl‘	
373.PNG	advance	advance	advance	
374.PNG	such	such	such	
375.PNG	expenses	expenses	expenses	
376.PNG	to	[0	l0	
377.PNG	Indemnitee	indqmnixée‘	indgmnilée	
378.PNG	which	which	which	
379.PNG	are	are	II“:	
380.PNG	incurred	incurred	incurred	
381.PNG	by	by	by	
386.PNG	Indemnitee	Indemnitce	lndemnitce	
387.PNG	in	in	in	
388.PNG	connection	connection	connection	
389.PNG	with	wit-h	with	
390.PNG	any	any	any	
391.PNG	claim	claim	claim	
392.PNG	asserted	asserted	asserted	
393.PNG	by	by	.	
394.PNG	or	DI‘	DI‘	
395.PNG	action	action	action	
396.PNG	brought	brought	brought	
397.PNG	by	by	by	
398.PNG	Indemnitee	Indemnitu	lndemnilee	
399.PNG	for	for	for	
400.PNG	i	l:	l	
401.PNG	indemnification	indemniﬁcation	indemniﬁcation	
403.PNG	or	OI'	OI'	
404.PNG	advance	advance	advance	
405.PNG	Payment	payment	payment	
406.PNG	of	of	of	
407.PNG	Expenses	Expenses	Expenses	
408.PNG	by	by	by	
409.PNG	the	1h;	Eh;	
410.PNG	Company	'caapﬁ;	tawny	
412.PNG	under	under	under	
413.PNG	this	tl-I'is	(Sis	
414.PNG	Agreement	Ayeement	Ayeement	
415.PNG	or	Ol’	0f	
416.PNG	other	other	other	
417.PNG	agreement	agreement	agreement	
418.PNG	or	0f	-	
419.PNG	the	the	the	
420.PNG	Company�s	Company;	Company'§	
421.PNG	Certificate	Certiﬁcate	Ceniﬁcale	
422.PNG	of	of	of	
423.PNG	Incorporation	Incorporation	Incorporation	
424.PNG	or	Ol'	Ol'	
425.PNG	By-Laws	'BQ-La'ws	‘BQ-l‘iws	
426.PNG	now	HOW	now	
427.PNG	or	0!	0!	
428.PNG	hereafter	heréafter	heréaher	
429.PNG	in	in	in	
430.PNG	effect	effect	effect	
431.PNG	relating	relaﬁng	relating	
432.PNG	to	t0	l0	
433.PNG	Claims	Claims	Claims	
434.PNG	for	for	for	
435.PNG	Indemnifiable	’{ndemniiﬁal'arle	‘I.ndemn'§ﬁal'?Ic	
436.PNG	Events	Evcms	Evcnls	
437.PNG	and/or	andlor	andlor	
438.PNG	ii	ill.	..	
439.PNG	recovery	recovery	recovery	
440.PNG	under	under	undet	
441.PNG	any	.“Y	any	
442.PNG	director's	directors'	dircclon'	
443.PNG	and	and	and	
444.PNG	officer's	ofﬁcég‘	ofﬁcéié‘	
445.PNG	liability	liability	liability	
446.PNG	insurance	ipsunnce	ipsunnce	
447.PNG	politics	policiu	policiu	
448.PNG	maintained	maintained	maintained	
449.PNG	by	by	by	
450.PNG	the	the	the	
451.PNG	Company	Cgmpany,	Cgmpany‘	
452.PNG	regardless	regardless	regardless	
453.PNG	of	of	o!	
454.PNG	whether	w'hciié;	wilciilér	
455.PNG	Indemnitee	Indemnixee	lndemm'tee	
456.PNG	ultimately	ultimately	ultimately	
457.PNG	is	is	is	
458.PNG	determined	detennineJ	delennineJ	
459.PNG	to	‘0	‘0	
460.PNG	be	.	.	
461.PNG	entitled	entillcd	entilled	
462.PNG	to	IO	l0	
463.PNG	such	such	such	
464.PNG	indemnification	indemniﬁcaiionV	indemniﬁcaiion	
465.PNG	advance	advance	advance	
466.PNG	expense	expense	expense	
467.PNG	payment	payment	payment	
468.PNG	or	or	OI'	
469.PNG	insurance	insurance	insurance	
470.PNG	recovery	recovery	recovcly	
471.PNG	as	gs	gs	
472.PNG	the	lhel	lhe\	
473.PNG	case	case	case	
474.PNG	may	may	may	
475.PNG	be	be.	be‘	
476.PNG	unless	unlcs‘	unlcs‘	
477.PNG	the	the	the	
478.PNG	court	court	ooun	
479.PNG	determines	determines	determines	
480.PNG	that	that	that	
481.PNG	the	the	the	
482.PNG	claim	claim	claim	
483.PNG	asserted	asséned‘	assélted	
484.PNG	by	by	by	
485.PNG	or	0f	0f	
486.PNG	action	action	action	
487.PNG	brought	brdughl	brought	
488.PNG	by	by	by	
489.PNG	Indemnitee	Indemhitee	lndexnhilee	
490.PNG	was	W8!	W8!	
491.PNG	unfounded	unfounded	unfounded	
492.PNG	or	Ol'	Ol'	
493.PNG	not	00!	nol	
494.PNG	made	made	made	
495.PNG	in	in	In	
496.PNG	good	good	good	
497.PNG	faith	faith.	lailh‘	
498.PNG	Notwithstanding	Notwithstanding	Notwithstanding	
499.PNG	anything	anything	anything	
500.PNG	in	NONE	NONE	
501.PNG	the	the	the	
502.PNG	Certificate	Certiﬁcate	Certiﬁcate	
503.PNG	of	of	of	
504.PNG	Incorporation	Incorporation	lnoolpulalion	
505.PNG	the	the	lh:	
506.PNG	By-Laws	ByuLaws	By-l‘aws	
507.PNG	or	LOI’	iOI'	
508.PNG	this	this	this	
509.PNG	Agreement	Agreement	Aglcenlenl	
510.PNG	to	l0	l0	
511.PNG	the	the	the	
512.PNG	contrary	contrary	contrary	
513.PNG	if	if	if	
514.PNG	Indemnitee	Indemﬁitce-	Indemﬁitcé	
515.PNG	has	has	has	
516.PNG	commenced	commenced	commenced	
517.PNG	legal	legal	legal	
518.PNG	proceedings	proceedings	proceedings	
519.PNG	in	in	|n	
520.PNG	a	I	I	
521.PNG	court	court	coun	
522.PNG	of	of	of	
523.PNG	competent	competent	competent	
524.PNG	jurisdiction	juﬁsdinion	juﬁ'sdiclion	
525.PNG	to	IO	l0	
526.PNG	secure	secure	secure	
527.PNG	a	.	.	
528.PNG	determination	determination	determination	
529.PNG	that	that	tha!	
530.PNG	Indemnitee	Indemnitee	Indemnitee	
531.PNG	should	should	should	
532.PNG	be	.	.	
533.PNG	indemnified	indemniﬁed	indemniﬁed	
534.PNG	under	under	under	
535.PNG	this	this	this	
536.PNG	Agreement	Agreement	Agrecménl	
537.PNG	the	thé	thé	
538.PNG	Certificate	Certiﬁcate	Cctliﬁcale	
539.PNG	of	of	of	
540.PNG	Incorporation	Incorporation	Incorporation	
541.PNG	of	:0“	:Ofl	
542.PNG	the	the	the	
543.PNG	Company	Company	Company	
544.PNG	or	or	or	
545.PNG	applicable	Ipplicable	Ipplicablc	
546.PNG	law	law.	lawI	
547.PNG	any	any	any	
548.PNG	Board	Board	Board	
549.PNG	Action	Action	Action	
550.PNG	determining	da_lgmﬁning	da_lennining	
551.PNG	that	that	that	
552.PNG	Indemnitee	lndemm'tee	lndemnitee	
553.PNG	would	would	would	
554.PNG	not	no!	no!	
555.PNG	be	.	.	
556.PNG	permitted	Permitted	Permitted	
557.PNG	to	t0	l0	
558.PNG	be	.	.	
559.PNG	indemnified	indemniﬁéd	indemniﬁed	
560.PNG	in	in	In	
561.PNG	accordance	accordance	accordance	
562.PNG	with	with	with	
563.PNG	paragraph	Parjgrraph	Pafqgraph	
564.PNG	2(a)	2(a)	2(a)	
565.PNG	of	of	of	
566.PNG	this	ufis	dis	
567.PNG	Agreement	Agreement	Agreement	
568.PNG	shall	shall	shall	
569.PNG	not	not	no!	
570.PNG	during	during	during	
571.PNG	the	the	{he	
572.PNG	pendency	pcndency	pcndency	
573.PNG	of	of	of	
574.PNG	such	such	such	
575.PNG	legal	Iegu	legal	
576.PNG	proceedings	proceedings	proceeding;	
577.PNG	be	.	.	
578.PNG	binding	binding.	binding.	
579.PNG	If	Ir‘	H	
580.PNG	there	there	there	
581.PNG	has	has	has	
582.PNG	been	been	been	
583.PNG	no	no	no	
584.PNG	Board	anrd	ébard	
585.PNG	Action	Action‘	Action‘	
586.PNG	or	0f	OI	
587.PNG	if	if	if	
588.PNG	Board	Board	Board	
589.PNG	Action	Action	Action	
590.PNG	determines	delgrﬁu’nes	delgrﬁu’ues	
591.PNG	that	that	that	
592.PNG	Indemnitee	lndemnitcc	lndemnitcc	
593.PNG	would	would	would	
594.PNG	not	not	not	
595.PNG	be	.	.	
596.PNG	permitted	permitted	permitted	
597.PNG	to	l0	l0	
598.PNG	be	.	.	
599.PNG	indemnified	indemniﬁed,	indemniﬁed‘	
600.PNG	in	in	In	
601.PNG	any	any	any	
602.PNG	respect	respect	rcspecl	
603.PNG	in	in	in	
604.PNG	whole	whole	whole	
605.PNG	or	10f	10f	
606.PNG	in	in	m	
607.PNG	part	pan	pan	
608.PNG	in	m	In	
609.PNG	accordance	awordanc:	mrdance	
610.PNG	with	with	with	
611.PNG	paragraph	Paragraph	Paragraph	
612.PNG	2(a)	2(a)	2(a)	
613.PNG	of	o!	o!	
614.PNG	this	this	this	
615.PNG	Agreement	Agreement	Agxcculenl	
616.PNG	Indemnitee	Indemnilc:	lndcmnilc:	
617.PNG	shall	shall	shall	
618.PNG	have	hive	hive	
619.PNG	the	the	the	
620.PNG	right	n'ghl	right	
621.PNG	to	IO	IO	
622.PNG	commence	commence	commence	
623.PNG	litigation	litigation	litigation	
624.PNG	in	Iin	Iin	
625.PNG	the	the	the	
626.PNG	court	COB"	coun	
627.PNG	which	which-	which-	
628.PNG	is	is	is	
629.PNG	hearing	hearing	hearing	
630.PNG	the	the	(he	
631.PNG	action	action	action	
632.PNG	or	0f	0f	
633.PNG	proceeding	proceeding	proceeding	
634.PNG	relating	relating	relating	
635.PNG	to	{O	KO	
636.PNG	the	‘the	‘Ihe	
637.PNG	Claim	Gaim	Gaim	
638.PNG	for	'ror	ion	
639.PNG	which	which	which	
640.PNG	indemnification	indemniﬁc—ation	indemniﬁc—ation	
641.PNG	is	IS	IS	
642.PNG	sought	sought	sought	
643.PNG	or	Ol'	0f	
644.PNG	in	in	NONE	
645.PNG	any	any	any	
646.PNG	court	coun	coun	
647.PNG	in	m	1n	
648.PNG	the	ans	sh:	
649.PNG	State	State	State	
650.PNG	of	6t	6r	
651.PNG	Delaware	Deﬂawaie	Delawaie	
652.PNG	having	haviﬁg	haviﬁg	
653.PNG	subject	subjec!	subjec!	
654.PNG	matter	matter	mallet	
655.PNG	jurisdiction	jqrisdiction	jqrisdiclion	
656.PNG	thereof	thereof	thereol	
657.PNG	and	Ind	.	
658.PNG	in	in	in	
659.PNG	which	which	which	
660.PNG	venue	venue	venue	
661.PNG	is	IS	IS	
662.PNG	proper	proper	proper	
663.PNG	seeking	seeking	seeking	
664.PNG	an	an	an	
665.PNG	initial	initial	initial	
666.PNG	determination	delemu'nalion	delerminalion	
667.PNG	by	by	by	
668.PNG	the	the	the	
669.PNG	court	court	COuﬂ	
670.PNG	or	Of	OI	
671.PNG	challenging	clgallenging	clgallenging	
672.PNG	and	any	any	
673.PNG	such	such	such	
674.PNG	Board	Board	Board	
675.PNG	Action	Action	Action	
676.PNG	or	OI’	0f	
677.PNG	any	“Y	any	
678.PNG	aspect	aspect	aspect	
679.PNG	thereof	thereof	thereof	
680.PNG	and	and	and	
681.PNG	the	the	Ihe	
682.PNG	Company	Company	Company	
683.PNG	hereby	hereby	hereby	
684.PNG	consents	OOHSCI'IB	OOHSCI'IIS	
685.PNG	to	t0	l0	
686.PNG	service	service	service	
687.PNG	pf	of	of	
688.PNG	process	pipeeu	m	
689.PNG	and	and	and	
690.PNG	to	Ito	Ito	
691.PNG	appear	appeu	appear	
692.PNG	in	Il'l	Il'l	
693.PNG	any	any	any	
694.PNG	such	such	such	
695.PNG	proceeding	proueding‘	promeding	
696.PNG	Except	Except	Except	
697.PNG	as	as	,	
698.PNG	otherwise	otherwise	Olherwise	
699.PNG	provided	provided	provided	
700.PNG	in	In	In	
701.PNG	the	Ilhe	lhe	
702.PNG	first	:ﬁrst	:ﬁrst	
703.PNG	sentence	sentence	sentenu	
704.PNG	of	of	ot	
705.PNG	this	this	this	
706.PNG	paragraph	ngnph	Plnylph	
707.PNG	2(c)	|2(c)‘	|2(c)	
708.PNG	any	MY	MY	
709.PNG	Board	Board	Board	
710.PNG	Action	Acu'on'	Acuon'	
711.PNG	not	no!	EDI	
712.PNG	followed	followed	followed	
713.PNG	by	by	by	
714.PNG	such	iuch	iuch	
715.PNG	litigation	litigation	litigation	
716.PNG	shall	shall	shall	
717.PNG	be	.	.	
718.PNG	conclusive	conclusive	conclusive	
719.PNG	and	and	and	
720.PNG	binding	binding	binding	
721.PNG	on	OD	OD	
722.PNG	the	.	.	
723.PNG	Company	Company	Company	
724.PNG	and	and	and	
725.PNG	Indemnitee	Indemnitee.	lndemnitee.	
726.PNG	Notwithstanding	Notwithstanding	Notwithstanding	
727.PNG	anything	anything	anything	
728.PNG	in	NONE	NONE	
729.PNG	the	(he	(he	
730.PNG	Certificate	Certiﬁcate	Celliﬁcale	
731.PNG	of	of]	of‘	
732.PNG	Incorporation	Incorporation	lncxnpoualion	
733.PNG	the	the	(he	
734.PNG	Bay-Laws	By-Laws	By-l‘aws	
735.PNG	or	Ol'	OI	
736.PNG	this	this	this	
737.PNG	Agreement	Agreement	Agreenlenl	
738.PNG	to	l0	l0	
739.PNG	the	the	the	
740.PNG	contrary	contrary	contrary	
741.PNG	if	if	if	
742.PNG	so	50	50	
743.PNG	required	requested	requested	
744.PNG	by	by	by	
745.PNG	Indemnitee	vlndernnitee‘	lndemnitee	
746.PNG	the	the	the	
747.PNG	Company	Emmi	Eonllpany	
748.PNG	shall	shall	shall	
749.PNG	advance	advance	advance	
750.PNG	within	within	within	
751.PNG	then	ten	ten	
752.PNG	business	business	business	
753.PNG	days	days	days	
754.PNG	of	of	of	
755.PNG	such	such	such	
756.PNG	request	request	request	
757.PNG	any	any	any	
758.PNG	and	and,	and!	
759.PNG	all	all	all	
760.PNG	Expenses	Exp_enses	Exp_enses	
761.PNG	relating	relating	relating	
762.PNG	to	IO	IO	
763.PNG	a	a	a	
764.PNG	Claim	Claim	Claim	
765.PNG	to	IO	[0	
766.PNG	Indemnitee	Indemnilee	lndemnilee	
767.PNG	an	al	al	
768.PNG	Expense	Expense	Expense	
